4242147,14.649,18 59 52.721,+39 21 37.04,284.96967,39.36028,4389,4.77,18599+3922,KOI1934,AB   ,2013,2013,30,30,5.3,5.3,12.3,19.2,K   ,0.041,15.604,14.59,12.976,12.911,1.014,1.364,3.335,2.628,0.197,0.719,141
4242147,14.649,18 59 52.721,+39 21 37.04,284.96967,39.36028,4389,4.77,18599+3922,KOI1934,AC   ,1998,2013,51,51,6.3,6.2,12.3,15.4,K   ,0.041,15.604,14.59,12.976,12.911,1.014,1.364,3.335,2.628,0.197,0.719,141
6105462,13.838,18 59 54.722,+41 25 12.58,284.978,41.42017,6193,4.247,18599+4125,KOI2098,AB   ,2013,2013,156,156,2.9,2.9,13.8,16.3,    ,0.124,14.171,13.806,12.807,12.825,0.365,0.475,1.688,1.364,0.069,0.879,126
6105462,13.838,18 59 54.722,+41 25 12.58,284.978,41.42017,6193,4.247,18599+4125,KOI2098,AC   ,2013,2013,132,132,3.2,3.2,13.8,16.2,    ,0.124,14.171,13.806,12.807,12.825,0.365,0.475,1.688,1.364,0.069,0.879,126
11852978,13.307,18 59 59.270,+50 08 32.71,284.99696,50.14242,4070,4.384,18599+5008,DEA 356,     ,1998,2013,14,13,16.2,16.2,13.8,14.5,V   ,0.027,14.464,13.229,11.39,11.38,1.235,1.653,3.84,3.074,0.022,0.917,63
4136934,13.954,19 00 00.317,+39 16 37.27,285.00129,39.277,5503,4.65,19000+3916,MLB 859,     ,1933,2010,238,235,3.7,6.2,14.1,14.9,N  R,0.078,14.448,13.894,12.742,12.699,0.554,0.705,2.173,1.706,0.227,0.852,215
5080636,14.404,19 00 03.141,+40 13 14.70,285.01308,40.22075,3673,4.51,19001+4013,KOI1843,     ,2013,2013,268,268,3.1,3.1,11.1,18.2,K   ,0.026,16.028,14.677,11.951,11.869,1.351,2.32,4.973,4.077,0.056,0.856,88
5601258,14.911,19 00 20.769,+40 53 56.40,285.08654,40.89897,3845,4.475,19003+4054,KOI2191,AB   ,2013,2013,234,234,1.7,1.7,11.8,17.2,K   ,0.038,16.394,15.017,12.656,12.625,1.377,2.119,4.584,3.738,0.044,0.776,230
5601258,14.911,19 00 20.769,+40 53 56.40,285.08654,40.89897,3845,4.475,19003+4054,KOI2191,AC   ,2013,2013,312,312,5.2,5.2,11.8,20.5,K   ,0.038,16.394,15.017,12.656,12.625,1.377,2.119,4.584,3.738,0.044,0.776,230
8804397,13.43,19 00 24.974,+45 00 29.41,285.10404,45.00817,5988,4.596,19004+4501,KOI1853,     ,2013,2013,304,304,1,1,14.2,14.4,    ,0.081,13.79,13.375,12.455,12.502,0.415,0.514,1.621,1.335,0.014,0.917,40
